expid, time,best bid,best offer, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, best bid, best offer, 
25, 000180, 151, 188, AA, 970, 10, 97.000000, GDX, 1574, 10, 157.400000, GVWY, 2264, 10, 226.400000, SHVR, 2399, 10, 239.900000, ZIC, 636, 10, 63.600000, ZIP, 1142, 10, 114.200000, 151, 188, 
26, 000180, 161, 163, AA, 802, 10, 80.200000, GDX, 515, 10, 51.500000, GVWY, 3452, 10, 345.200000, SHVR, 924, 10, 92.400000, ZIC, 774, 10, 77.400000, ZIP, 3573, 10, 357.300000, 161, 163, 
27, 000180, 155, 168, AA, 1213, 10, 121.300000, GDX, 616, 10, 61.600000, GVWY, 2256, 10, 225.600000, SHVR, 1866, 10, 186.600000, ZIC, 834, 10, 83.400000, ZIP, 2967, 10, 296.700000, 155, 168, 
28, 000180, 161, 166, AA, 138, 10, 13.800000, GDX, 743, 10, 74.300000, GVWY, 2405, 10, 240.500000, SHVR, 2296, 10, 229.600000, ZIC, 1005, 10, 100.500000, ZIP, 1834, 10, 183.400000, 161, 166, 
29, 000180, 169, 174, AA, 1663, 10, 166.300000, GDX, 570, 10, 57.000000, GVWY, 1811, 10, 181.100000, SHVR, 3512, 10, 351.200000, ZIC, 326, 10, 32.600000, ZIP, 1513, 10, 151.300000, 169, 174, 
30, 000180, 161, 165, AA, 749, 10, 74.900000, GDX, 1200, 10, 120.000000, GVWY, 2120, 10, 212.000000, SHVR, 1695, 10, 169.500000, ZIC, 925, 10, 92.500000, ZIP, 3107, 10, 310.700000, 161, 165, 
31, 000180, 158, 162, AA, 631, 10, 63.100000, GDX, 767, 10, 76.700000, GVWY, 2481, 10, 248.100000, SHVR, 3685, 10, 368.500000, ZIC, 901, 10, 90.100000, ZIP, 1133, 10, 113.300000, 158, 162, 
32, 000180, 152, 165, AA, 794, 10, 79.400000, GDX, 1036, 10, 103.600000, GVWY, 2778, 10, 277.800000, SHVR, 2281, 10, 228.100000, ZIC, 854, 10, 85.400000, ZIP, 1970, 10, 197.000000, 152, 165, 
33, 000180, 161, 175, AA, 703, 10, 70.300000, GDX, 1891, 10, 189.100000, GVWY, 1905, 10, 190.500000, SHVR, 2092, 10, 209.200000, ZIC, 585, 10, 58.500000, ZIP, 2227, 10, 222.700000, 161, 175, 
34, 000180, 160, 179, AA, 227, 10, 22.700000, GDX, 415, 10, 41.500000, GVWY, 2514, 10, 251.400000, SHVR, 2200, 10, 220.000000, ZIC, 917, 10, 91.700000, ZIP, 2501, 10, 250.100000, 160, 179, 
35, 000180, 152, 160, AA, 542, 10, 54.200000, GDX, 706, 10, 70.600000, GVWY, 1618, 10, 161.800000, SHVR, 3746, 10, 374.600000, ZIC, 1330, 10, 133.000000, ZIP, 2156, 10, 215.600000, 152, 160, 
36, 000180, 162, 168, AA, 1057, 10, 105.700000, GDX, 413, 10, 41.300000, GVWY, 2894, 10, 289.400000, SHVR, 1667, 10, 166.700000, ZIC, 1045, 10, 104.500000, ZIP, 1284, 10, 128.400000, 162, 168, 
37, 000180, 161, 163, AA, 1373, 10, 137.300000, GDX, 728, 10, 72.800000, GVWY, 2896, 10, 289.600000, SHVR, 1457, 10, 145.700000, ZIC, 718, 10, 71.800000, ZIP, 2049, 10, 204.900000, 161, 163, 
38, 000180, 151, 155, AA, 110, 10, 11.000000, GDX, 1280, 10, 128.000000, GVWY, 2877, 10, 287.700000, SHVR, 3869, 10, 386.900000, ZIC, 793, 10, 79.300000, ZIP, 1943, 10, 194.300000, 151, 155, 
39, 000180, 151, 159, AA, 903, 10, 90.300000, GDX, 28, 10, 2.800000, GVWY, 1350, 10, 135.000000, SHVR, 2036, 10, 203.600000, ZIC, 1108, 10, 110.800000, ZIP, 3887, 10, 388.700000, 151, 159, 
40, 000180, 137, 151, AA, 293, 10, 29.300000, GDX, 616, 10, 61.600000, GVWY, 1674, 10, 167.400000, SHVR, 2531, 10, 253.100000, ZIC, 1087, 10, 108.700000, ZIP, 3537, 10, 353.700000, 137, 151, 
41, 000180, 158, 161, AA, 623, 10, 62.300000, GDX, 611, 10, 61.100000, GVWY, 1369, 10, 136.900000, SHVR, 2070, 10, 207.000000, ZIC, 1367, 10, 136.700000, ZIP, 2465, 10, 246.500000, 158, 161, 
42, 000180, 159, 164, AA, 221, 10, 22.100000, GDX, 967, 10, 96.700000, GVWY, 2451, 10, 245.100000, SHVR, 2147, 10, 214.700000, ZIC, 1230, 10, 123.000000, ZIP, 2847, 10, 284.700000, 159, 164, 
43, 000180, 144, 169, AA, 599, 10, 59.900000, GDX, 1108, 10, 110.800000, GVWY, 2681, 10, 268.100000, SHVR, 3019, 10, 301.900000, ZIC, 892, 10, 89.200000, ZIP, 1911, 10, 191.100000, 144, 169, 
44, 000180, 159, 175, AA, 454, 10, 45.400000, GDX, 428, 10, 42.800000, GVWY, 2722, 10, 272.200000, SHVR, 1790, 10, 179.000000, ZIC, 1633, 10, 163.300000, ZIP, 2956, 10, 295.600000, 159, 175, 
